rank,state,total_2021,flagged_2021,rate_2021,total_2022,flagged_2022,rate_2022,total_2023,flagged_2023,rate_2023,total_2024,flagged_2024,rate_2024,avg_rate,std_dev
1,AK,1418,1131,79.76%,1404,1011,72.01%,1790,1232,68.83%,1759,1202,68.33%,72.23%,4.57
2,MH,2,1,50.00%,3,1,33.33%,1,1,100.00%,2,2,100.00%,70.83%,29.76
3,AP,5,4,80.00%,16,14,87.50%,6,5,83.33%,4,1,25.00%,68.96%,25.52
4,DC,1364,1127,82.62%,759,404,53.23%,842,462,54.87%,834,458,54.92%,61.41%,12.27
5,SD,1110,627,56.49%,1270,745,58.66%,1561,943,60.41%,1527,904,59.20%,58.69%,1.42
6,MT,996,578,58.03%,1064,655,61.56%,1303,764,58.63%,1312,736,56.10%,58.58%,1.96
7,AS,3,3,100.00%,1,1,100.00%,6,2,33.33%,3,0,0.00%,58.33%,43.30
8,CT,4597,2887,62.80%,4910,2837,57.78%,5440,3042,55.92%,5410,3066,56.67%,58.29%,2.69
9,AZ,5647,3449,61.08%,7018,4053,57.75%,8013,4506,56.23%,8021,4654,58.02%,58.27%,1.76
10,WA,6489,3841,59.19%,7388,4134,55.96%,8949,4954,55.36%,8754,4955,56.60%,56.78%,1.46
11,ND,1109,610,55.00%,1233,710,57.58%,1415,800,56.54%,1377,780,56.64%,56.44%,0.92
12,NM,1537,907,59.01%,1653,902,54.57%,1909,1051,55.06%,1950,1094,56.10%,56.18%,1.72
13,OR,5111,2945,57.62%,5753,3303,57.41%,6818,3755,55.07%,6859,3703,53.99%,56.02%,1.54
14,IA,4423,2418,54.67%,5254,2982,56.76%,5805,3221,55.49%,5822,3299,56.66%,55.89%,0.87
15,VA,7891,4534,57.46%,8626,4900,56.81%,10008,5448,54.44%,9923,5437,54.79%,55.87%,1.29
16,MN,9831,5436,55.29%,11492,6460,56.21%,12765,7113,55.72%,12432,6867,55.24%,55.62%,0.39
17,CA,32261,18433,57.14%,36054,19877,55.13%,40903,21885,53.50%,40233,22331,55.50%,55.32%,1.29
18,HI,1069,604,56.50%,1364,836,61.29%,1594,824,51.69%,1686,862,51.13%,55.15%,4.11
19,ME,1484,787,53.03%,1822,1025,56.26%,1968,1056,53.66%,1987,1136,57.17%,55.03%,1.73
20,MD,4576,2568,56.12%,5308,2892,54.48%,5856,3076,52.53%,5779,3245,56.15%,54.82%,1.49
21,CO,5570,3113,55.89%,6340,3423,53.99%,7191,3812,53.01%,7202,3902,54.18%,54.27%,1.04
22,KY,5317,3060,57.55%,5857,3151,53.80%,6500,3351,51.55%,6523,3524,54.02%,54.23%,2.15
23,FL,16767,9391,56.01%,18926,10102,53.38%,21441,10932,50.99%,21452,11747,54.76%,53.78%,1.86
24,WY,526,297,56.46%,600,316,52.67%,770,422,54.81%,777,396,50.97%,53.73%,2.09
25,GA,9800,5355,54.64%,10451,5619,53.77%,11655,6092,52.27%,11880,6384,53.74%,53.60%,0.85
26,IN,7867,4409,56.04%,8490,4460,52.53%,9578,5018,52.39%,9925,5303,53.43%,53.60%,1.47
27,PR,1406,712,50.64%,1334,664,49.78%,1570,926,58.98%,1576,865,54.89%,53.57%,3.67
28,NE,2347,1274,54.28%,2409,1276,52.97%,2851,1506,52.82%,2941,1583,53.83%,53.47%,0.60
29,PA,13936,7565,54.28%,15073,8067,53.52%,17109,9145,53.45%,16964,8897,52.45%,53.43%,0.65
30,UT,3168,1555,49.08%,3041,1646,54.13%,3508,1957,55.79%,3524,1922,54.54%,53.38%,2.56
31,MA,6146,3235,52.64%,6866,3703,53.93%,8040,4206,52.31%,8008,4315,53.88%,53.19%,0.73
32,ID,2397,1079,45.01%,2007,1243,61.93%,2390,1275,53.35%,2423,1270,52.41%,53.18%,6.00
33,DE,834,450,53.96%,985,504,51.17%,1204,653,54.24%,1172,616,52.56%,52.98%,1.22
34,NV,3589,1555,43.33%,3142,1770,56.33%,3749,2073,55.29%,3850,2169,56.34%,52.82%,5.50
35,WV,1512,816,53.97%,1628,882,54.18%,1846,927,50.22%,1930,1015,52.59%,52.74%,1.58
36,NH,1685,867,51.45%,1927,1022,53.04%,2091,1096,52.42%,2033,1074,52.83%,52.43%,0.61
37,MS,2739,1519,55.46%,2805,1439,51.30%,3024,1530,50.60%,3231,1675,51.84%,52.30%,1.88
38,SC,5025,2698,53.69%,5322,2780,52.24%,6192,3118,50.36%,6480,3406,52.56%,52.21%,1.20
39,AR,2857,1553,54.36%,3180,1576,49.56%,3499,1796,51.33%,3533,1879,53.18%,52.11%,1.82
40,MI,10128,5273,52.06%,11741,6158,52.45%,13401,7010,52.31%,13786,7083,51.38%,52.05%,0.41
41,MO,6030,3224,53.47%,6501,3347,51.48%,7378,3730,50.56%,7871,4141,52.61%,52.03%,1.10
42,RI,992,553,55.75%,985,516,52.39%,1230,596,48.46%,1240,636,51.29%,51.97%,2.61
43,NJ,6522,3374,51.73%,7235,3717,51.38%,8976,4643,51.73%,8673,4571,52.70%,51.88%,0.49
44,TX,24768,13414,54.16%,26420,13559,51.32%,29777,15048,50.54%,30851,15796,51.20%,51.80%,1.39
45,TN,7099,3782,53.28%,7575,3832,50.59%,8473,4367,51.54%,8743,4498,51.45%,51.71%,0.98
46,NC,11286,6222,55.13%,12629,6408,50.74%,13968,6811,48.76%,14273,7450,52.20%,51.71%,2.32
47,IL,14691,7469,50.84%,15242,7972,52.30%,17008,8681,51.04%,16754,8743,52.18%,51.59%,0.66
48,OK,3459,1839,53.17%,3582,1800,50.25%,4145,2058,49.65%,4155,2183,52.54%,51.40%,1.48
49,KS,3380,1764,52.19%,3449,1815,52.62%,4127,2029,49.16%,4157,2110,50.76%,51.18%,1.36
50,WI,8123,4257,52.41%,8435,4338,51.43%,9519,4737,49.76%,9568,4884,51.05%,51.16%,0.95
51,VT,643,322,50.08%,737,380,51.56%,819,413,50.43%,826,425,51.45%,50.88%,0.64
52,AL,4717,2492,52.83%,5078,2427,47.79%,5612,2756,49.11%,5756,2890,50.21%,49.99%,1.85
53,NY,13035,6731,51.64%,14805,7164,48.39%,16515,8018,48.55%,16546,8449,51.06%,49.91%,1.46
54,OH,14170,7194,50.77%,15178,7320,48.23%,17108,8230,48.11%,16738,8245,49.26%,49.09%,1.07
55,LA,4401,2108,47.90%,4308,2008,46.61%,4857,2137,44.00%,5075,2310,45.52%,46.01%,1.43
56,VI,53,26,49.06%,50,19,38.00%,62,29,46.77%,54,21,38.89%,43.18%,4.81
57,AE,3,2,66.67%,1,0,0.00%,2,1,50.00%,2,1,50.00%,41.67%,25.00
58,GU,58,23,39.66%,58,24,41.38%,80,34,42.50%,76,32,42.11%,41.41%,1.09
59,AA,1,1,100.00%,2,0,0.00%,2,0,0.00%,4,1,25.00%,31.25%,40.98
60,MP,7,2,28.57%,10,2,20.00%,13,3,23.08%,15,5,33.33%,26.25%,5.12
61,PW,1,0,0.00%,3,0,0.00%,1,0,0.00%,2,2,100.00%,25.00%,43.30
62,FM,0,0,0.00%,0,0,0.00%,1,1,100.00%,0,0,0.00%,25.00%,43.30
