id,ein,establishment_name,company_name,state,reported_naics,suggested_naics,reported_sector,suggested_sector,reported_rate,suggested_rate,rate_delta,employees,estimated_annual_loss
2412708,870990599,"Pye Barker Fire & Safety, LLC (Orange Park)","Pye Barker fire & Safety, LLC",FL,238220,928110,23,92,11.61,0.36,-11.25,50000,419512500.00
2316832,870990599,"Pye Barker Fire & Safety, LLC (Justice Fire-Sioux Falls)","Pye Barker Fire & Safety, LLC",SD,238220,928110,23,92,11.61,0.36,-11.25,50000,419512500.00
2316833,870990599,"Pye Barker Fire & Safety, LLC (Sarasota)","Pye Barker Fire & Safety, LLC",FL,238220,928110,23,92,11.61,0.36,-11.25,50000,419512500.00
2316830,870990599,"Pye Barker Fire & Safety, LLC (Sparks)","Pye Barker Fire & Safety, LLC",NV,238220,928110,23,92,11.61,0.36,-11.25,50000,419512500.00
2166076,621727136,"CableSouth Construction, LLC","CableSouth Construction, LLC",TN,237130,517919,23,51,11.61,0.42,-11.19,50000,417275100.00
2382496,351463465,Urbana,A-Lert Construction Services,IA,238290,519190,23,51,11.61,0.42,-11.19,50000,417275100.00
2374999,430918005,"HERZOG CONTRACTING CORP - MOW, AUSTIN TX",HERZOG CONTRACTING CORP,TX,237990,811213,23,81,11.61,1.73,-9.88,47664,351212374.66
2297075,416007162,Explore Minnesota,Explore MN,MN,541810,487210,54,48,0.21,7.88,7.67,50000,286014300.00
2158386,650558907,"TWS Fabricators, Inc","TWS Fabricators, Inc",FL,238120,444110,23,44,11.61,3.99,-7.62,50000,284149800.00
2372178,431649412,HERZOG TRANSIT SERVICES INC - KC,HERZOG TRANSIT SERVICES INC,MO,485119,519190,48,51,7.88,0.42,-7.46,50000,278183400.00
2219712,421190085,Carroll Construction Supply - Hamilton,"Carroll Distributing & Construction Supply, Inc.",OH,327390,238290,32,23,5.24,11.61,6.37,50000,237537300.00
2435202,582201082,Marketing Alliance Samples Inc 230 McConnell Road,Marketing Alliance Samples Inc,GA,314110,541890,31,54,6.31,0.21,-6.10,50000,227469000.00
2179316,260869685,Resonetics Blaine,Resonetics,MN,339112,541490,33,54,4.87,0.21,-4.66,50000,173771400.00
2231489,350821788,Terrance A Smith Distributing Inc,Terrance A Smith Distributing Inc,IN,424820,541990,42,54,4.56,0.21,-4.35,50000,162211500.00
2239964,42264738,05415100-00W001 INDEPENDENT PIPE & SUPPLY CORP,INDEPENDENT PIPE & SUPPLY CORP,MA,423510,524128,42,52,4.56,0.21,-4.35,50000,162211500.00
2286944,370602744,Clayton Facility,,NC,333120,531130,33,53,4.87,0.54,-4.33,50000,161465700.00
2305173,630461038,"Wilson Lumber Company, Inc. Westmoreland Truss","Wilson Lumber Company, Inc.",TN,321214,624190,32,62,5.24,0.94,-4.30,50000,160347000.00
2258029,341010088,McNichols - ATL,McNichols Company,GA,423510,928110,42,92,4.56,0.36,-4.20,50000,156618000.00
2441561,874058103,"Suwannee Mapa Operating, LLC",BEDROCK REHABILITATION AND NURSING CENTER AT SUWANNEE,FL,623110,339950,62,33,0.94,4.87,3.93,50000,146549700.00
2207725,874034610,Bedrock Rehabilitation & Nursing Center at Lk Eustis,Bedrock Rehabilitation & Nursing Center at Lk Eustis,FL,623110,339950,62,33,0.94,4.87,3.93,50000,146549700.00
2437955,431237036,Ambassador Meat Distributor's Inc,Ambassador Meat Distributor's Inc.,MO,425120,611420,42,61,4.56,0.64,-3.92,50000,146176800.00
2372140,364263020,Brenntag Great Lakes - Toledo,Brenntag Great Lakes,OH,424690,621610,42,62,4.56,0.94,-3.62,50000,134989800.00
2304249,521893632,Lockheed Martin Corporation Crystal City Campus (1001),Lockheed Martin Corporation,VA,561110,928110,56,92,3.82,0.36,-3.46,50000,129023400.00
2466287,200145104,Aldez Indiana,Aldez,KY,493190,561499,49,56,7.18,3.82,-3.36,50000,125294400.00
2258962,870324118,Birrell Bottling Company - Salina,Admiral Beverage Corporation,UT,424490,486990,42,48,4.56,7.88,3.32,50000,123802800.00
2243778,,Even Hotel and Tinley Park Convention Center,Even Hotel and Tinley Park Convention Center,IL,531120,561320,53,56,0.54,3.82,3.28,50000,122311200.00
2282437,741712438,Worley Field Services at Huntsman Advanced Material Company,Worley,AL,237120,611430,23,61,11.61,0.64,-10.97,14346,117370737.40
2371435,910425694,WA004,The Boeing Company,WA,336411,541330,33,54,4.87,0.21,-4.66,31948,111032973.74
2151800,43259743,Warren Technical Center,General Motors,MI,336310,519190,33,51,4.87,0.42,-4.45,26133,86730461.73
2295479,464037526,"ALBANY LODGING GROUP, LLC","ALBANY LODGING GROUP, LLC",NY,721110,523920,72,52,2.47,0.21,-2.26,50000,84275400.00
2119725,620444141,Knox Farmers Cooperative,Knox Farmer's Cooperative,TN,424910,519190,42,51,4.56,0.42,-4.14,24960,77066795.52
2344911,952412883,"Walt Disney Parks and Resorts U.S. Inc., dba Disneyland Resort",The Walt Disney Company,CA,713110,516210,71,51,2.89,0.42,-2.47,38502,70925535.25
2257446,42296940,Bridgewell INC,Bridgewell,MA,623220,454390,62,45,0.94,2.74,1.80,50000,67122000.00
2459197,,Building Products Inc. of ND,Building Products Inc. of ND,ND,423310,925120,42,92,4.56,0.36,-4.20,20169,63176568.84
2307995,561318322,Krispy Kreme,Krispy Kreme,NC,722515,311920,72,31,2.47,6.31,3.84,22000,63005184.00
2412531,351183669,Best One Tire - Harrisburg,"Southern Indiana Tire, Inc",IL,441320,928110,44,92,3.99,0.36,-3.63,23229,62886803.17
2212471,582480149,KYGRA - WORLDPORT,United Parcel Service Inc.,KY,492110,519190,49,51,7.18,0.42,-6.76,12406,62546188.85
2379471,830520926,Best One of Kansas - Wichita,"Best One of Kansas, Inc.",KS,441320,927110,44,92,3.99,0.36,-3.63,22090,59803240.86
2262920,431391996,5 DIS-SAN ANTONIO RIVER WALK,"DRURY HOTELS COMPANY, LLC - F850002",TX,721110,621410,72,62,2.47,0.94,-1.53,50000,57053700.00
2304281,521893632,Lockheed Martin Corporation US TX Fort Worth Lockheed Blvd (1093),Lockheed Martin Corporation,TX,336411,928110,33,92,4.87,0.36,-4.51,16918,56904674.24
2371372,910425694,MO002,The Boeing Company,MO,336411,541330,33,54,4.87,0.21,-4.66,14171,49250290.19
2305318,730470190,Stillwater Milling Ag-Center,Stillwater Milling Company,OK,444220,453910,44,45,3.99,2.74,-1.25,50000,46612500.00
2432580,946001347,California Department of Transportation Facility 425,Facility 425,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2433835,946001347,California Department of Transportation Facility 495,Facility 495,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2432603,946001347,California Department of Transportation Facility 451,Facility 451,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2433824,946001347,California Department of Transportation Facility 485,Facility 485,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2433810,946001347,California Department of Transportation Facility 471,Facility 471,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2434199,946001347,California Department of Transportation Facility 570,Facility 570,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2434077,946001347,California Department of Transportation Facility 527,Facility 527,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
2432587,946001347,California Department of Transportation Facility 433,Facility 433,CA,237310,541513,23,54,11.61,0.21,-11.40,5405,45953958.60
